;Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
37;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;13.47;94;100;6.3;2698;Infinity Ward;M
38;Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision;13.32;88;39;3.2;5234;Infinity Ward, Sledgehammer Games;M
39;Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive;13.1;97;56;8.5;664;DMA Design;M
40;Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo;12.84;93;81;8.9;1662;Game Arts;T
41;Mario Kart 7;3DS;2011;Racing;Nintendo;12.66;85;73;8.2;632;Retro Studios, Entertainment Analysis & Development Division;E
42;Call of Duty: Black Ops;PS3;2010;Shooter;Activision;12.63;88;58;6.4;1094;Treyarch;M
43;Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive;12.61;97;66;8.3;2899;Rockstar North;M
44;Animal Crossing: Wild World;DS;2005;Simulation;Nintendo;12.13;86;57;8.7;242;Nintendo;E
45;Halo 3;X360;2007;Shooter;Microsoft Game Studios;12.12;94;86;7.8;4100;Bungie Software, Bungie;M
49;Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment;11.66;89;74;8.5;272;Polyphony Digital;E
50;Super Mario Galaxy;Wii;2007;Platform;Nintendo;11.35;97;73;8.9;2147;Nintendo;E
52;Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive;11.01;98;86;7.9;2951;Rockstar North;M
53;Gran Turismo;PS;1997;Racing;Sony Computer Entertainment;10.95;96;16;8.7;138;Polyphony Digital;E
54;Super Mario 3D Land;3DS;2011;Platform;Nintendo;10.81;90;82;8.4;921;Nintendo;E
55;Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment;10.7;84;82;7.5;1112;Polyphony Digital;E
56;Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision;10.6;94;67;6.3;2073;Infinity Ward;M
58;Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive;10.5;98;64;7.5;2833;Rockstar North;M
61;Call of Duty: Ghosts;X360;2013;Shooter;Activision;10.25;73;29;2.6;2117;Infinity Ward;M
62;Just Dance 3;Wii;2011;Misc;Ubisoft;10.12;74;15;7.8;16;Ubisoft;E10+
63;New Super Mario Bros. 2;3DS;2012;Platform;Nintendo;9.9;78;70;7.2;424;Nintendo;E
65;Halo: Reach;X360;2010;Shooter;Microsoft Game Studios;9.86;91;99;7.9;2045;Bungie;M
66;Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;9.72;92;20;9.2;1282;SquareSoft;T
67;Halo 4;X360;2012;Shooter;Microsoft Game Studios;9.71;87;87;7;3260;343 Industries;M
68;Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment;9.49;93;23;9;135;Polyphony Digital;T
69;Just Dance 2;Wii;2010;Misc;Ubisoft;9.44;74;24;7.3;24;Ubisoft;E10+
70;Call of Duty: Ghosts;PS3;2013;Shooter;Activision;9.36;71;10;2.6;1047;Infinity Ward;M
71;Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;9.31;94;70;8.4;1320;Infinity Ward;M
74;Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;9.16;88;70;8.7;626;Nintendo;E
75;Mario Party DS;DS;2007;Misc;Nintendo;8.91;72;27;7.8;85;Hudson Soft;E
76;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;8.79;96;89;8.4;3589;Bethesda Game Studios;M
78;FIFA 16;PS4;2015;Sports;Electronic Arts;8.57;82;42;4.3;896;EA Sports;E
79;Halo 2;XB;2004;Shooter;Microsoft Game Studios;8.49;95;91;8.2;1218;Bungie Software;M
80;Wii Party;Wii;2010;Misc;Nintendo;8.38;68;42;7.4;54;Nd Cube;E
81;Mario Party 8;Wii;2007;Misc;Nintendo;8.27;62;41;6.3;190;Hudson;E
82;FIFA Soccer 13;PS3;2012;Action;Electronic Arts;8.16;88;37;6.6;348;Electronic Arts;E
85;Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;8.05;92;53;8.7;1056;SquareSoft;T
86;The Sims 3;PC;2009;Simulation;Electronic Arts;8.01;86;75;7.6;886;The Sims Studio;T
89;Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;7.86;90;24;8.6;644;SquareSoft;T
91;Pokémon Platinum Version;DS;2008;Role-Playing;Nintendo;7.72;83;46;8.5;203;Game Freak;E
92;Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;7.69;88;65;7.6;451;Rockstar Leeds;M
93;Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;7.66;83;39;5.7;1443;Sledgehammer Games;M
95;FIFA 17;PS4;2016;Sports;Electronic Arts;7.59;85;41;5;398;EA Sports, EA Vancouver;E
98;Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;7.51;97;87;9.1;1854;Nintendo EAD Tokyo;E
101;Call of Duty: World at War;X360;2008;Shooter;Activision;7.38;84;84;7.6;580;Treyarch;M
102;Battlefield 3;X360;2011;Shooter;Electronic Arts;7.32;84;57;7.4;2142;EA DICE;M
103;Need for Speed Underground;PS2;2003;Racing;Electronic Arts;7.2;85;33;8.6;171;EA Black Box;E
104;Just Dance;Wii;2009;Misc;Ubisoft;7.2;49;21;8;110;Ubisoft Paris;E10+
105;Battlefield 3;PS3;2011;Shooter;Electronic Arts;7.17;85;38;7.5;1761;EA DICE;M
106;Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;7.16;87;58;6.5;4228;Bethesda Game Studios;M
107;Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;7.16;96;15;9.1;367;Namco;T
108;The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;7.15;95;73;9;1658;Nintendo;T
110;Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;7.13;91;12;8.9;432;Naughty Dog;E
111;Mario Kart 8;WiiU;2014;Racing;Nintendo;7.09;88;82;9.1;1599;Nintendo;E
112;Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;7.07;92;38;9.1;568;HAL Labs;T
114;Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;6.9;82;39;8.6;132;EA Canada;E
115;Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;6.83;88;29;8.5;135;EA LA;T
117;Just Dance 4;Wii;2012;Misc;Ubisoft;6.76;74;10;7.3;28;Ubisoft;E10+
118;Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;6.75;93;90;7.7;2739;Epic Games;M
119;Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment;6.74;92;97;8.3;3712;Naughty Dog;T
121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;6.68;94;44;8.4;993;Infinity Ward;M
122;Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;6.66;96;105;8.8;5187;Naughty Dog;T
124;Big Brain Academy;DS;2005;Misc;Nintendo;6.62;74;45;7.4;27;Nintendo;E
126;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;6.49;95;73;8.8;2456;Rockstar San Diego;M
127;FIFA 14;PS3;2013;Sports;Electronic Arts;6.47;86;37;4.3;576;EA Canada;E
128;Assassin's Creed III;PS3;2012;Action;Ubisoft;6.45;85;41;6.9;1307;Ubisoft;M
129;Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;6.44;87;77;8.6;368;Retro Studios;E
130;Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios;6.43;97;68;8.6;1283;Bungie Software;M
131;The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;6.41;92;16;6.4;2527;Bethesda Game Studios;M
132;Pokémon Emerald Version;GBA;2004;Role-Playing;Nintendo;6.41;76;28;9;222;Game Freak;E
133;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;6.4;85;46;8.8;597;SquareSoft;E
135;Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;6.34;83;94;7.1;1163;Bungie Software, Bungie;M
136;Red Dead Redemption;X360;2010;Action;Take-Two Interactive;6.32;95;96;9;2316;Rockstar San Diego;M
137;Super Mario Sunshine;GC;2002;Platform;Nintendo;6.31;92;61;8.6;439;Nintendo;E
139;World of Warcraft;PC;2004;Role-Playing;Activision;6.29;93;57;7.3;2182;Blizzard Entertainment;T
140;Driver;PS;1999;Action;GT Interactive;6.27;87;22;8.1;78;Reflections Interactive;T
141;Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;6.21;91;96;7.8;1504;Epic Games;M
142;Kinect Sports;X360;2010;Sports;Microsoft Game Studios;6.19;73;51;7.4;95;Rare Ltd.;E10+
143;Gears of War;X360;2006;Shooter;Microsoft Game Studios;6.09;94;88;8.3;2295;Epic Games;M
144;FIFA 15;PS4;2014;Sports;Electronic Arts;6.08;82;47;5.7;988;EA Sports;E
145;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;6.05;96;42;8.7;1026;KCEJ;M
147;Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;6.03;94;20;9.4;918;KCEJ;M
148;Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;5.99;94;82;8.7;3558;Kojima Productions;M
149;Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;5.95;92;64;7.6;972;Square Enix;T
150;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;5.87;95;98;9.1;8003;Naughty Dog;M
151;LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;5.82;95;85;6.8;5311;SCE/WWS, Media Molecule;E
152;Resident Evil 2;PS;1998;Action;Virgin Interactive;5.82;89;13;9.2;364;Capcom;M
153;Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;5.78;87;65;8.8;197;Level 5;E10+
154;Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;5.74;89;8;8.9;102;Namco;T
155;Destiny;PS4;2014;Shooter;Activision;5.64;76;95;6.1;5380;Bungie Software, Bungie;T
156;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;5.64;80;17;8.9;62;Traveller's Tales;E10+
157;Cooking Mama;DS;2006;Simulation;505 Games;5.63;67;35;7.2;21;Taito Corporation;E
160;Assassin's Creed II;PS3;2009;Action;Ubisoft;5.55;91;70;8.6;1202;Ubisoft Montreal;M
161;Assassin's Creed;X360;2007;Adventure;Ubisoft;5.54;81;77;7.7;1074;Ubisoft Montreal;M
162;Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;5.49;92;90;8;516;Turn 10;E
163;Super Mario Advance;GBA;2001;Platform;Nintendo;5.49;84;19;7.8;41;Nintendo;E
164;Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;5.48;81;48;8.7;124;Capcom;T
165;Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;5.48;96;42;8.6;2162;Rocksteady Studios;T
166;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;5.48;97;14;7.9;764;Rockstar North;M
167;Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;5.47;93;24;8.3;108;Intelligent Systems;E
170;Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;5.42;66;22;7.1;156;Traveller's Tales;E
171;Call of Duty: World at War;PS3;2008;Shooter;Activision;5.39;85;45;7.6;409;Treyarch;M
172;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;5.38;93;113;7.9;7064;Naughty Dog;T
174;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;5.33;83;83;7.3;2483;Square Enix;T
176;Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;5.3;94;22;8.9;779;SquareSoft;T
177;Assassin's Creed III;X360;2012;Action;Ubisoft;5.29;84;61;6.7;1196;Ubisoft;M
178;Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;5.29;85;45;6.6;400;SquareSoft;T
180;Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;5.27;81;53;5.4;898;Sledgehammer Games;M
182;Assassin's Creed II;X360;2009;Action;Ubisoft;5.26;90;82;8.8;1305;Ubisoft Montreal;M
183;Tomb Raider II;PS;1997;Action;Eidos Interactive;5.24;85;13;;NA;Core Design Ltd.;T
184;Madden NFL 2004;PS2;2003;Sports;Electronic Arts;5.23;94;29;8.5;140;EA Tiburon;E
186;New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;5.22;84;70;8.1;733;Nintendo;E
187;Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;5.21;89;63;8.8;245;Level 5;T
189;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;5.19;85;72;8.6;147;Level 5;E
191;FIFA Soccer 13;X360;2012;Action;Electronic Arts;5.16;90;48;6.1;403;Electronic Arts;E
193;Diablo III;PC;2012;Role-Playing;Activision;5.14;88;86;4;9629;Blizzard Entertainment;M
194;Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;5.13;68;30;7.6;100;EA LA;T
197;Guitar Hero II;PS2;2006;Misc;RedOctane;5.12;92;69;8.5;112;Harmonix Music Systems;T
198;Fable III;X360;2010;Role-Playing;Microsoft Game Studios;5.1;80;88;6.5;604;Lionhead Studios;M
200;Resident Evil 5;PS3;2009;Action;Capcom;5.09;84;76;7.5;667;Capcom;M
201;The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;5.08;90;57;8;416;Nintendo;E
203;FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;5.07;89;51;8;233;EA Sports;E
204;Resident Evil;PS;1996;Action;Virgin Interactive;5.05;91;8;9;266;Capcom;M
205;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;5.03;86;50;8;150;Rockstar Leeds;M
206;Tony Hawk's Pro Skater;PS;1999;Sports;Activision;5.02;92;18;9.2;69;Neversoft Entertainment;T
209;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;4.98;82;24;8.2;46;Neversoft Entertainment, BudCat;T
210;Link's Crossbow Training;Wii;2007;Shooter;Nintendo;4.98;68;34;7.1;47;Nintendo;T
212;Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;4.93;93;84;8.5;1655;Bethesda Game Studios;M
213;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment;4.92;88;66;8.1;2306;Naughty Dog, SCE/WWS;T
214;Madden NFL 06;PS2;2005;Sports;Electronic Arts;4.91;88;29;8;121;EA Sports;E
219;StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;4.84;93;82;8.2;3052;Blizzard Entertainment;T
220;Assassin's Creed;PS3;2007;Adventure;Ubisoft;4.82;81;40;7.3;769;Ubisoft Montreal;M
221;God of War III;PS3;2010;Action;Sony Computer Entertainment;4.8;92;101;8.7;2633;SCE Santa Monica;M
222;Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;4.79;88;20;9;233;Naughty Dog;E
223;LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;4.76;80;9;5.4;46;TT Fusion;E
224;Driver 2;PS;2000;Action;Atari;4.73;62;14;7.7;92;Reflections Interactive;T
225;Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment;4.73;94;87;8.7;1472;Rocksteady Studios;T
228;Tony Hawk's Pro Skater 2;PS;2000;Sports;Activision;4.68;98;19;7.7;299;Neversoft Entertainment;T
229;The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts;4.67;82;32;8.2;78;Stormfront Studios;T
230;Tomb Raider;PS;1996;Action;Eidos Interactive;4.63;91;13;8.6;147;Core Design Ltd.;T
231;Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;4.62;73;50;7.6;119;Nintendo;E
232;Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment;4.62;86;78;8.1;1264;Bluepoint Games;T
234;The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo;4.6;96;80;8.9;968;Nintendo;E
235;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;4.6;86;36;8.4;87;Vicarious Visions;T
236;Luigi's Mansion: Dark Moon;3DS;2013;Action;Nintendo;4.59;86;74;8.4;458;Next Level Games;E
237;Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios;4.57;91;83;8.2;617;Turn 10;E
239;Madden NFL 2005;PS2;2004;Sports;Electronic Arts;4.53;91;30;7.9;78;EA Tiburon;E
240;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;4.53;85;69;7.9;165;Neversoft Entertainment;T
242;Madden NFL 07;PS2;2006;Sports;Electronic Arts;4.49;84;29;8.2;39;EA Sports;E
243;Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios;4.48;84;101;6.4;2438;343 Industries;T
244;Spider-Man: The Movie;PS2;2002;Action;Activision;4.48;76;25;7.9;41;Treyarch;E
246;Call of Duty: Infinite Warfare;PS4;2016;Shooter;Activision;4.46;77;82;3.4;1129;Infinity Ward;M
247;God of War;PS2;2005;Action;Sony Computer Entertainment;4.45;94;75;8.9;997;SCE Santa Monica;M
248;Splatoon;WiiU;2015;Shooter;Nintendo;4.43;81;88;8.5;1184;Nintendo;E10+
249;Nintendo Land;WiiU;2012;Misc;Nintendo;4.42;77;61;7.9;471;Nintendo;E10+
250;Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision;4.41;97;34;7.5;298;Neversoft Entertainment;T
251;Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment;4.39;86;19;8.9;33;Konami;E
252;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;4.38;94;90;8.7;1109;Bethesda Softworks;M
254;Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts;4.37;82;36;9.1;137;EA Canada;T
255;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;4.36;56;37;8.3;31;Ubisoft Paris, Ubisoft Montpellier;E10+
256;Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision;4.36;NA;NA;4.8;207;High Moon Studios;M
257;Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment;4.34;86;70;8.1;715;Insomniac Games;M
259;Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix;4.33;87;64;9;766;Square Enix;E10+
261;Super Mario 3D World;WiiU;2013;Platform;Nintendo;4.32;93;83;9;1607;Nintendo;E
264;Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision;4.29;NA;NA;4.9;221;High Moon Studios;M
265;FIFA 15;PS3;2014;Sports;Electronic Arts;4.28;NA;NA;4.5;109;EA Sports;E
266;Fable II;X360;2008;Role-Playing;Microsoft Game Studios;4.27;89;95;6.5;2423;Lionhead Studios;M
267;Namco Museum;GBA;2001;Misc;Namco Bandai Games;4.24;79;10;7.3;6;Mass Media;E
268;Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive;4.23;91;70;8.9;1122;Rocksteady Studios;T
269;Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment;4.23;91;68;9.3;955;KCEJ;M
270;Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft;4.22;80;39;7.5;613;Ubisoft Montreal;M
271;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;4.22;88;39;6.2;1749;Bethesda Game Studios;M
272;FIFA 14;X360;2013;Sports;Electronic Arts;4.22;84;41;4.2;435;EA Canada;E
273;Daxter;PSP;2006;Platform;Sony Computer Entertainment;4.21;85;59;8.7;109;Ready at Dawn;E10+
275;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;4.21;80;32;7.8;47;EA Canada;E
276;EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment;4.2;80;32;7.5;22;SCEE, Zoe Mode;E
277;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;4.19;80;67;7.1;120;Polyphony Digital;E
278;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft;4.19;80;77;7.2;564;Ubisoft Montreal;M
281;Street Fighter IV;PS3;2009;Fighting;Capcom;4.16;94;61;7.3;330;Capcom;T
284;Madden NFL 2003;PS2;2002;Sports;Electronic Arts;4.14;95;25;7.7;65;EA Sports;E
285;Half-Life;PC;1997;Shooter;Vivendi Games;4.12;96;24;9.1;3161;Valve Software;M
289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;4.09;91;46;7.9;785;Blizzard Entertainment;T
290;Battlefield 1;PS4;2016;Shooter;Electronic Arts;4.08;88;31;8.4;809;EA DICE;M
291;God of War II;PS2;2007;Action;Sony Computer Entertainment;4.07;93;70;8.9;709;SCE Santa Monica;M
292;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment;4.06;NA;NA;8.2;23;Konami;E
293;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks;4.05;84;81;8.1;769;Obsidian Entertainment;M
294;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;4.05;90;66;8.3;381;Turn 10;E
295;Carnival Games;Wii;2007;Misc;Take-Two Interactive;4.05;56;27;6;44;Cat Daddy Games;E
296;Watch Dogs;PS4;2014;Action;Ubisoft;4.05;80;80;6.3;2996;Ubisoft Montreal;M
298;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games;4.05;85;25;8.5;117;Namco;T
299;Far Cry 4;PS4;2014;Shooter;Ubisoft;4.04;85;83;7.7;1653;Ubisoft Montreal;M
302;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games;3.98;61;21;tbd;NA;Digital Eclipse;E10+
303;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts;3.97;89;76;8.6;681;Valve Software;M
304;The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games;3.97;92;79;9.2;10179;CD Projekt Red Studio;M
305;Assassin's Creed: Unity;PS4;2014;Action;Ubisoft;3.96;70;40;4.9;2050;Ubisoft, Ubisoft Montreal;M
306;Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment;3.95;87;89;7.6;2679;Rocksteady Studios;M
307;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;3.95;93;81;8;1958;Nintendo;E10+
308;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks;3.94;90;57;8;910;Bethesda Game Studios;M
309;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;3.94;84;65;8.8;72;Level 5;E10+
311;EA Sports Active;Wii;2009;Sports;Electronic Arts;3.9;81;27;8.7;39;EA Canada;E
312;Tony Hawk's Underground;PS2;2003;Sports;Activision;3.9;90;38;8.7;121;Neversoft Entertainment;T
313;Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo;3.89;86;80;8.7;348;Capcom;T
314;The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;3.88;94;32;8.1;9073;Bethesda Game Studios;M
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive;3.88;87;51;6.7;364;Visual Concepts;E10+
316;Tekken 5;PS2;2005;Fighting;Namco Bandai Games;3.87;88;62;8.6;229;Namco;T
318;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment;3.87;84;9;7.4;220;Evolution Studios;T
320;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment;3.85;91;26;9.1;38;KCET;E
321;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment;3.84;76;64;7.9;104;SCEA, Zindagi Games;E10+
324;Call of Duty: Ghosts;PS4;2013;Shooter;Activision;3.83;78;49;3.7;1564;Infinity Ward;M
325;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;3.83;59;22;4;4;Nintendo, Namco Bandai Games;E
326;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft;3.8;80;64;7;2219;Massive Entertainment;M
327;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;3.79;68;33;6.9;39;Nintendo;E
330;LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision;3.76;77;60;7.5;66;Traveller's Tales;E10+
331;The Sims: Unleashed;PC;2002;Simulation;Electronic Arts;3.76;79;21;8;29;Maxis;T
333;Harry Potter and the Sorcerer's Stone;PS;2001;Action;Electronic Arts;3.73;64;11;7.5;41;Argonaut Games;E
336;Super Paper Mario;Wii;2007;Platform;Nintendo;3.71;85;56;7.9;417;Intelligent Systems;E
337;Spyro: Year of the Dragon;PS;2000;Platform;Sony Computer Entertainment;3.71;91;15;8.8;207;Insomniac Games;E
338;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft;3.71;88;36;8.1;840;Ubisoft;M
339;FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts;3.7;81;27;7.6;56;EA Canada;E
342;Tony Hawk's Pro Skater 4;PS2;2002;Sports;Activision;3.67;94;27;8.5;128;Neversoft Entertainment;T
344;MySims;DS;2007;Simulation;Electronic Arts;3.66;67;15;7.3;13;TOSE;E
345;Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive;3.65;74;34;8.4;31;Rockstar Leeds;E10+
