"","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"127","PS3","2013","Sports","Electronic Arts",6.47,86,37,"4.3",576,"EA Canada","E"
"128","PS3","2012","Action","Ubisoft",6.45,85,41,"6.9",1307,"Ubisoft","M"
"129","Wii","2010","Platform","Nintendo",6.44,87,77,"8.6",368,"Retro Studios","E"
"130","XB","2001","Shooter","Microsoft Game Studios",6.43,97,68,"8.6",1283,"Bungie Software","M"
"131","PS3","2011","Role-Playing","Bethesda Softworks",6.41,92,16,"6.4",2527,"Bethesda Game Studios","M"
"132","GBA","2004","Role-Playing","Nintendo",6.41,76,28,"9",222,"Game Freak","E"
"133","PS2","2002","Role-Playing","Sony Computer Entertainment",6.4,85,46,"8.8",597,"SquareSoft","E"
"135","X360","2009","Shooter","Microsoft Game Studios",6.34,83,94,"7.1",1163,"Bungie Software, Bungie","M"
"136","X360","2010","Action","Take-Two Interactive",6.32,95,96,"9",2316,"Rockstar San Diego","M"
"137","GC","2002","Platform","Nintendo",6.31,92,61,"8.6",439,"Nintendo","E"
"139","PC","2004","Role-Playing","Activision",6.29,93,57,"7.3",2182,"Blizzard Entertainment","T"
"140","PS","1999","Action","GT Interactive",6.27,87,22,"8.1",78,"Reflections Interactive","T"
"141","X360","2011","Shooter","Microsoft Game Studios",6.21,91,96,"7.8",1504,"Epic Games","M"
"142","X360","2010","Sports","Microsoft Game Studios",6.19,73,51,"7.4",95,"Rare Ltd.","E10+"
"143","X360","2006","Shooter","Microsoft Game Studios",6.09,94,88,"8.3",2295,"Epic Games","M"
"144","PS4","2014","Sports","Electronic Arts",6.08,82,47,"5.7",988,"EA Sports","E"
"145","PS2","2001","Action","Konami Digital Entertainment",6.05,96,42,"8.7",1026,"KCEJ","M"
"147","PS","1998","Action","Konami Digital Entertainment",6.03,94,20,"9.4",918,"KCEJ","M"
"148","PS3","2008","Action","Konami Digital Entertainment",5.99,94,82,"8.7",3558,"Kojima Productions","M"
"149","PS2","2006","Role-Playing","Square Enix",5.95,92,64,"7.6",972,"Square Enix","T"
"150","PS3","2013","Action","Sony Computer Entertainment Europe",5.87,95,98,"9.1",8003,"Naughty Dog","M"
"151","PS3","2008","Platform","Sony Computer Entertainment",5.82,95,85,"6.8",5311,"SCE/WWS, Media Molecule","E"
"152","PS","1998","Action","Virgin Interactive",5.82,89,13,"9.2",364,"Capcom","M"
"153","DS","2009","Role-Playing","Nintendo",5.78,87,65,"8.8",197,"Level 5","E10+"
"154","PS","1996","Fighting","Sony Computer Entertainment",5.74,89,8,"8.9",102,"Namco","T"
"155","PS4","2014","Shooter","Activision",5.64,76,95,"6.1",5380,"Bungie Software, Bungie","T"
"156","Wii","2007","Action","LucasArts",5.64,80,17,"8.9",62,"Traveller's Tales","E10+"
"157","DS","2006","Simulation","505 Games",5.63,67,35,"7.2",21,"Taito Corporation","E"
"160","PS3","2009","Action","Ubisoft",5.55,91,70,"8.6",1202,"Ubisoft Montreal","M"
"161","X360","2007","Adventure","Ubisoft",5.54,81,77,"7.7",1074,"Ubisoft Montreal","M"
"162","X360","2009","Racing","Microsoft Game Studios",5.49,92,90,"8",516,"Turn 10","E"
"163","GBA","2001","Platform","Nintendo",5.49,84,19,"7.8",41,"Nintendo","E"
"164","PSP","2008","Role-Playing","Capcom",5.48,81,48,"8.7",124,"Capcom","T"
"165","PS3","2011","Action","Warner Bros. Interactive Entertainment",5.48,96,42,"8.6",2162,"Rocksteady Studios","T"
"166","XOne","2014","Action","Take-Two Interactive",5.48,97,14,"7.9",764,"Rockstar North","M"
"167","GBA","2001","Racing","Nintendo",5.47,93,24,"8.3",108,"Intelligent Systems","E"
"170","PS2","2001","Platform","Universal Interactive",5.42,66,22,"7.1",156,"Traveller's Tales","E"
"171","PS3","2008","Shooter","Activision",5.39,85,45,"7.6",409,"Treyarch","M"
"172","PS4","2016","Shooter","Sony Computer Entertainment",5.38,93,113,"7.9",7064,"Naughty Dog","T"
"174","PS3","2009","Role-Playing","Square Enix",5.33,83,83,"7.3",2483,"Square Enix","T"
"176","PS","2000","Role-Playing","SquareSoft",5.3,94,22,"8.9",779,"SquareSoft","T"
"177","X360","2012","Action","Ubisoft",5.29,84,61,"6.7",1196,"Ubisoft","M"
"178","PS2","2003","Role-Playing","Electronic Arts",5.29,85,45,"6.6",400,"SquareSoft","T"
"180","XOne","2014","Shooter","Activision",5.27,81,53,"5.4",898,"Sledgehammer Games","M"
"182","X360","2009","Action","Ubisoft",5.26,90,82,"8.8",1305,"Ubisoft Montreal","M"
"183","PS","1997","Action","Eidos Interactive",5.24,85,13,"",NA,"Core Design Ltd.","T"
"184","PS2","N/A","Sports","Electronic Arts",5.23,94,29,"8.5",140,"EA Tiburon","E"
"186","WiiU","2012","Platform","Nintendo",5.22,84,70,"8.1",733,"Nintendo","E"
"187","PS2","2004","Role-Playing","Square Enix",5.21,89,63,"8.8",245,"Level 5","T"
"189","DS","2007","Puzzle","Nintendo",5.19,85,72,"8.6",147,"Level 5","E"
"191","X360","2012","Action","Electronic Arts",5.16,90,48,"6.1",403,"Electronic Arts","E"
"193","PC","2012","Role-Playing","Activision",5.14,88,86,"4",9629,"Blizzard Entertainment","M"
"194","PS2","2003","Shooter","Electronic Arts",5.13,68,30,"7.6",100,"EA LA","T"
"197","PS2","2006","Misc","RedOctane",5.12,92,69,"8.5",112,"Harmonix Music Systems","T"
"198","X360","2010","Role-Playing","Microsoft Game Studios",5.1,80,88,"6.5",604,"Lionhead Studios","M"
"200","PS3","2009","Action","Capcom",5.09,84,76,"7.5",667,"Capcom","M"
"201","DS","2007","Action","Nintendo",5.08,90,57,"8",416,"Nintendo","E"
"203","PS3","2010","Sports","Electronic Arts",5.07,89,51,"8",233,"EA Sports","E"
"204","PS","1996","Action","Virgin Interactive",5.05,91,8,"9",266,"Capcom","M"
"205","PSP","2006","Action","Take-Two Interactive",5.03,86,50,"8",150,"Rockstar Leeds","M"
"206","PS","1999","Sports","Activision",5.02,92,18,"9.2",69,"Neversoft Entertainment","T"
"209","PS2","2007","Misc","Activision",4.98,82,24,"8.2",46,"Neversoft Entertainment, BudCat","T"
"210","Wii","2007","Shooter","Nintendo",4.98,68,34,"7.1",47,"Nintendo","T"
"212","X360","2008","Role-Playing","Bethesda Softworks",4.93,93,84,"8.5",1655,"Bethesda Game Studios","M"
"213","PS3","2007","Action","Sony Computer Entertainment",4.92,88,66,"8.1",2306,"Naughty Dog, SCE/WWS","T"
"214","PS2","2005","Sports","Electronic Arts",4.91,88,29,"8",121,"EA Sports","E"
"219","PC","2010","Strategy","Activision",4.84,93,82,"8.2",3052,"Blizzard Entertainment","T"
"220","PS3","2007","Adventure","Ubisoft",4.82,81,40,"7.3",769,"Ubisoft Montreal","M"
"221","PS3","2010","Action","Sony Computer Entertainment",4.8,92,101,"8.7",2633,"SCE Santa Monica","M"
"222","PS","1999","Racing","Sony Computer Entertainment",4.79,88,20,"9",233,"Naughty Dog","E"
"223","DS","2007","Action","LucasArts",4.76,80,9,"5.4",46,"TT Fusion","E"
"224","PS","2000","Action","Atari",4.73,62,14,"7.7",92,"Reflections Interactive","T"
"225","X360","2011","Action","Warner Bros. Interactive Entertainment",4.73,94,87,"8.7",1472,"Rocksteady Studios","T"
"228","PS","2000","Sports","Activision",4.68,98,19,"7.7",299,"Neversoft Entertainment","T"
"229","PS2","2002","Action","Electronic Arts",4.67,82,32,"8.2",78,"Stormfront Studios","T"
"230","PS","1996","Action","Eidos Interactive",4.63,91,13,"8.6",147,"Core Design Ltd.","T"
"231","Wii","2008","Simulation","Nintendo",4.62,73,50,"7.6",119,"Nintendo","E"
"232","PS4","2015","Action","Sony Computer Entertainment",4.62,86,78,"8.1",1264,"Bluepoint Games","T"
"234","GC","2002","Action","Nintendo",4.6,96,80,"8.9",968,"Nintendo","E"
"235","Wii","2007","Misc","Activision",4.6,86,36,"8.4",87,"Vicarious Visions","T"
"236","3DS","2013","Action","Nintendo",4.59,86,74,"8.4",458,"Next Level Games","E"
"237","X360","2011","Racing","Microsoft Game Studios",4.57,91,83,"8.2",617,"Turn 10","E"
"239","PS2","2004","Sports","Electronic Arts",4.53,91,30,"7.9",78,"EA Tiburon","E"
"240","X360","2007","Misc","Activision",4.53,85,69,"7.9",165,"Neversoft Entertainment","T"
"242","PS2","2006","Sports","Electronic Arts",4.49,84,29,"8.2",39,"EA Sports","E"
"243","XOne","2015","Shooter","Microsoft Game Studios",4.48,84,101,"6.4",2438,"343 Industries","T"
"244","PS2","2002","Action","Activision",4.48,76,25,"7.9",41,"Treyarch","E"
"246","PS4","2016","Shooter","Activision",4.46,77,82,"3.4",1129,"Infinity Ward","M"
"247","PS2","2005","Action","Sony Computer Entertainment",4.45,94,75,"8.9",997,"SCE Santa Monica","M"
"248","WiiU","2015","Shooter","Nintendo",4.43,81,88,"8.5",1184,"Nintendo","E10+"
"249","WiiU","2012","Misc","Nintendo",4.42,77,61,"7.9",471,"Nintendo","E10+"
"250","PS2","2001","Sports","Activision",4.41,97,34,"7.5",298,"Neversoft Entertainment","T"
"251","PS2","2006","Sports","Konami Digital Entertainment",4.39,86,19,"8.9",33,"Konami","E"
"252","X360","2006","Role-Playing","Take-Two Interactive",4.38,94,90,"8.7",1109,"Bethesda Softworks","M"
"254","PS2","2005","Racing","Electronic Arts",4.37,82,36,"9.1",137,"EA Canada","T"
"255","Wii","2010","Misc","Ubisoft",4.36,56,37,"8.3",31,"Ubisoft Paris, Ubisoft Montpellier","E10+"
"256","PS3","2014","Shooter","Activision",4.36,NA,NA,"4.8",207,"High Moon Studios","M"
"257","PS3","2006","Shooter","Sony Computer Entertainment",4.34,86,70,"8.1",715,"Insomniac Games","M"
"259","PS2","2005","Role-Playing","Square Enix",4.33,87,64,"9",766,"Square Enix","E10+"
"261","WiiU","2013","Platform","Nintendo",4.32,93,83,"9",1607,"Nintendo","E"
"264","X360","2014","Shooter","Activision",4.29,NA,NA,"4.9",221,"High Moon Studios","M"
"265","PS3","2014","Sports","Electronic Arts",4.28,NA,NA,"4.5",109,"EA Sports","E"
"266","X360","2008","Role-Playing","Microsoft Game Studios",4.27,89,95,"6.5",2423,"Lionhead Studios","M"
"267","GBA","2001","Misc","Namco Bandai Games",4.24,79,10,"7.3",6,"Mass Media","E"
"268","PS3","2009","Action","Eidos Interactive",4.23,91,70,"8.9",1122,"Rocksteady Studios","T"
"269","PS2","2004","Action","Konami Digital Entertainment",4.23,91,68,"9.3",955,"KCEJ","M"
"270","PS3","2011","Action","Ubisoft",4.22,80,39,"7.5",613,"Ubisoft Montreal","M"
"271","XOne","2015","Role-Playing","Bethesda Softworks",4.22,88,39,"6.2",1749,"Bethesda Game Studios","M"
"272","X360","2013","Sports","Electronic Arts",4.22,84,41,"4.2",435,"EA Canada","E"
"273","PSP","2006","Platform","Sony Computer Entertainment",4.21,85,59,"8.7",109,"Ready at Dawn","E10+"
"275","PS2","2005","Sports","Electronic Arts",4.21,80,32,"7.8",47,"EA Canada","E"
"276","PS2","2003","Misc","Sony Computer Entertainment",4.2,80,32,"7.5",22,"SCEE, Zoe Mode","E"
"277","PS3","2007","Racing","Sony Computer Entertainment",4.19,80,67,"7.1",120,"Polyphony Digital","E"
"278","X360","2011","Action","Ubisoft",4.19,80,77,"7.2",564,"Ubisoft Montreal","M"
"281","PS3","2009","Fighting","Capcom",4.16,94,61,"7.3",330,"Capcom","T"
"284","PS2","2002","Sports","Electronic Arts",4.14,95,25,"7.7",65,"EA Sports","E"
"285","PC","1997","Shooter","Vivendi Games",4.12,96,24,"9.1",3161,"Valve Software","M"
"289","PC","2007","Role-Playing","Activision",4.09,91,46,"7.9",785,"Blizzard Entertainment","T"
"290","PS4","2016","Shooter","Electronic Arts",4.08,88,31,"8.4",809,"EA DICE","M"
"291","PS2","2007","Action","Sony Computer Entertainment",4.07,93,70,"8.9",709,"SCE Santa Monica","M"
"292","PS2","2005","Sports","Konami Digital Entertainment",4.06,NA,NA,"8.2",23,"Konami","E"
"293","X360","2010","Role-Playing","Bethesda Softworks",4.05,84,81,"8.1",769,"Obsidian Entertainment","M"
"294","X360","2007","Racing","Microsoft Game Studios",4.05,90,66,"8.3",381,"Turn 10","E"
"295","Wii","2007","Misc","Take-Two Interactive",4.05,56,27,"6",44,"Cat Daddy Games","E"
"296","PS4","2014","Action","Ubisoft",4.05,80,80,"6.3",2996,"Ubisoft Montreal","M"
"298","PS2","2000","Fighting","Namco Bandai Games",4.05,85,25,"8.5",117,"Namco","T"
"299","PS4","2014","Shooter","Ubisoft",4.04,85,83,"7.7",1653,"Ubisoft Montreal","M"
"302","PS2","2005","Misc","Namco Bandai Games",3.98,61,21,"tbd",NA,"Digital Eclipse","E10+"
"303","X360","2009","Shooter","Electronic Arts",3.97,89,76,"8.6",681,"Valve Software","M"
"304","PS4","2015","Role-Playing","Namco Bandai Games",3.97,92,79,"9.2",10179,"CD Projekt Red Studio","M"
"305","PS4","2014","Action","Ubisoft",3.96,70,40,"4.9",2050,"Ubisoft, Ubisoft Montreal","M"
"306","PS4","2015","Action","Warner Bros. Interactive Entertainment",3.95,87,89,"7.6",2679,"Rocksteady Studios","M"
"307","Wii","2011","Action","Nintendo",3.95,93,81,"8",1958,"Nintendo","E10+"
"308","PS3","2008","Role-Playing","Bethesda Softworks",3.94,90,57,"8",910,"Bethesda Game Studios","M"
"309","DS","2007","Puzzle","Nintendo",3.94,84,65,"8.8",72,"Level 5","E10+"
"311","Wii","2009","Sports","Electronic Arts",3.9,81,27,"8.7",39,"EA Canada","E"
"312","PS2","2003","Sports","Activision",3.9,90,38,"8.7",121,"Neversoft Entertainment","T"
"313","3DS","2014","Role-Playing","Nintendo",3.89,86,80,"8.7",348,"Capcom","T"
"314","PC","2011","Role-Playing","Bethesda Softworks",3.88,94,32,"8.1",9073,"Bethesda Game Studios","M"
"315","PS4","2015","Sports","Take-Two Interactive",3.88,87,51,"6.7",364,"Visual Concepts","E10+"
"316","PS2","2005","Fighting","Namco Bandai Games",3.87,88,62,"8.6",229,"Namco","T"
"318","PS3","2006","Racing","Sony Computer Entertainment",3.87,84,9,"7.4",220,"Evolution Studios","T"
"320","PS2","2004","Sports","Konami Digital Entertainment",3.85,91,26,"9.1",38,"KCET","E"
"321","PS3","2010","Sports","Sony Computer Entertainment",3.84,76,64,"7.9",104,"SCEA, Zindagi Games","E10+"
"324","PS4","2013","Shooter","Activision",3.83,78,49,"3.7",1564,"Infinity Ward","M"
"325","DS","2007","Misc","Nintendo",3.83,59,22,"4",4,"Nintendo, Namco Bandai Games","E"
"326","PS4","2016","Shooter","Ubisoft",3.8,80,64,"7",2219,"Massive Entertainment","M"
"327","Wii","2007","Misc","Nintendo",3.79,68,33,"6.9",39,"Nintendo","E"
"330","X360","2008","Action","Activision",3.76,77,60,"7.5",66,"Traveller's Tales","E10+"
"331","PC","2002","Simulation","Electronic Arts",3.76,79,21,"8",29,"Maxis","T"
"333","PS","2001","Action","Electronic Arts",3.73,64,11,"7.5",41,"Argonaut Games","E"
"336","Wii","2007","Platform","Nintendo",3.71,85,56,"7.9",417,"Intelligent Systems","E"
"337","PS","2000","Platform","Sony Computer Entertainment",3.71,91,15,"8.8",207,"Insomniac Games","E"
"338","PS3","2013","Action","Ubisoft",3.71,88,36,"8.1",840,"Ubisoft","M"
"339","PS2","2004","Sports","Electronic Arts",3.7,81,27,"7.6",56,"EA Canada","E"
"342","PS2","2002","Sports","Activision",3.67,94,27,"8.5",128,"Neversoft Entertainment","T"
"344","DS","2007","Simulation","Electronic Arts",3.66,67,15,"7.3",13,"TOSE","E"
"345","PSP","2005","Racing","Take-Two Interactive",3.65,74,34,"8.4",31,"Rockstar Leeds","E10+"
"347","PS2","2002","Shooter","Sony Computer Entertainment",3.65,82,42,"7.9",82,"Zipper Interactive","M"
"348","PS2","2001","Platform","Sony Computer Entertainment",3.64,90,35,"8.7",312,"Naughty Dog","E"
"350","PS2","2007","Sports","Konami Digital Entertainment",3.63,82,10,"7.9",38,"Konami","E"
"351","PS2","2005","Action","Capcom",3.62,96,38,"8.9",1013,"Capcom","M"
"352","Wii","2008","Misc","Activision",3.62,86,18,"7.6",71,"Vicarious Visions","T"
"353","PS3","2009","Sports","Electronic Arts",3.62,91,56,"7.6",203,"EA Sports","E"
"354","PS2","2004","Shooter","LucasArts",3.61,82,36,"8.7",142,"Pandemic Studios","T"
"356","PS2","2001","Racing","Electronic Arts",3.61,64,23,"7.7",32,"Fox Interactive","T"
"357","GC","2001","Action","Nintendo",3.6,78,34,"8.5",161,"Nintendo","E"
"358","PS4","2013","Shooter","Electronic Arts",3.59,85,18,"6.9",1580,"EA DICE","M"
"359","PS2","2005","Shooter","LucasArts",3.59,84,30,"9",268,"Pandemic Studios","T"
"360","Wii","2013","Misc","Ubisoft",3.59,NA,NA,"6.2",10,"Ubisoft","E10+"
"361","DS","2007","Simulation","505 Games",3.58,70,39,"8",9,"Office Create","E"
"364","PS2","2006","Action","Take-Two Interactive",3.54,78,49,"7.8",112,"Rockstar Leeds","M"
"365","PS2","2002","Action","Sony Computer Entertainment",3.54,72,49,"6.8",88,"Team Soho","M"
"367","PS2","2001","Shooter","Electronic Arts",3.53,72,27,"7.9",48,"EA Redwood Shores","T"
"370","X360","2010","Sports","Electronic Arts",3.52,88,66,"7.5",155,"EA Sports","E"
"372","X360","2008","Shooter","Electronic Arts",3.51,89,67,"7.9",1309,"Certain Affinity","M"
"374","XOne","2014","Action","Ubisoft",3.5,72,59,"4.1",1005,"Ubisoft, Ubisoft Montreal","M"
"376","X360","2009","Action","Capcom",3.5,83,91,"7.5",523,"Capcom","M"
"377","X360","2010","Action","Ubisoft",3.49,89,81,"8.3",693,"Ubisoft Montreal","M"
"378","PS2","N/A","Sports","Electronic Arts",3.49,84,20,"6.4",76,"EA Canada","E"
"379","PS3","2013","Shooter","Electronic Arts",3.49,80,14,"5.8",579,"EA DICE","M"
"380","X360","2009","Action","Eidos Interactive",3.48,92,78,"8.7",1080,"Rocksteady Studios","T"
"381","X360","2013","Shooter","Electronic Arts",3.48,79,21,"5.6",542,"EA DICE","M"
"382","X360","2010","Shooter","Electronic Arts",3.47,88,75,"8.6",869,"EA DICE","M"
"384","DS","2008","Misc","Activision",3.46,71,70,"8.8",29,"Vicarious Visions","E10+"
"385","DS","2006","Misc","Nintendo",3.45,83,30,"8.4",28,"Agenda","E"
"387","X360","2009","Shooter","Take-Two Interactive",3.44,84,83,"8.2",715,"Gearbox Software","M"
"388","PS2","2002","Fighting","Namco Bandai Games",3.44,79,23,"8.3",126,"Namco","T"
"390","PS","1998","Action","Take-Two Interactive",3.42,70,15,"8",67,"DMA Design","T"
"391","PS4","2015","Action","Konami Digital Entertainment",3.41,93,86,"8.2",3943,"Kojima Productions, Moby Dick Studio","M"
"392","PS2","2004","Action","Activision",3.41,80,50,"8.9",106,"Treyarch","T"
"394","PS2","2002","Sports","Electronic Arts",3.4,88,15,"6.7",35,"EA Canada","E"
"395","PS3","2011","Platform","Sony Computer Entertainment",3.39,91,86,"8.4",657,"Media Molecule","E"
"396","PS","2000","Misc","Sony Computer Entertainment",3.39,68,12,"8.2",99,"Eurocom Entertainment Software","E"
"397","PS4","2015","Action","Ubisoft",3.39,76,86,"6.8",1319,"Ubisoft Quebec","M"
"398","X360","2008","Action","Warner Bros. Interactive Entertainment",3.38,76,49,"7.9",75,"Traveller's Tales","E10+"
